"No.","Time","Source","Destination","Protocol","Length","Info"
"13","57.560067200","127.0.0.1","127.0.0.1","TCP","56","53946  >  53945 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"14","57.560173700","127.0.0.1","127.0.0.1","TCP","56","53945  >  53946 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"15","57.560189700","127.0.0.1","127.0.0.1","TCP","44","53946  >  53945 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"16","57.563403200","192.168.1.150","192.168.1.150","BACnet-APDU","40","Unconfirmed-REQ who-Is "
"17","57.563414800","192.168.1.150","192.168.1.150","ICMP","68","Destination unreachable (Port unreachable)"
"18","60.015450600","127.0.0.1","127.0.0.1","TCP","45","[TCP Keep-Alive] 11434  >  51512 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"19","60.015466100","127.0.0.1","127.0.0.1","TCP","56","[TCP Keep-Alive ACK] 51512  >  11434 [ACK] Seq=1 Ack=2 Win=255 Len=0 SLE=1 SRE=2"
"20","60.570507100","127.0.0.1","127.0.0.1","TCP","44","53945  >  53946 [FIN, ACK] Seq=1 Ack=1 Win=65280 Len=0"
"21","60.570531000","127.0.0.1","127.0.0.1","TCP","44","53946  >  53945 [ACK] Seq=1 Ack=2 Win=65280 Len=0"
"22","60.570546300","127.0.0.1","127.0.0.1","TCP","44","53946  >  53945 [FIN, ACK] Seq=1 Ack=2 Win=65280 Len=0"
"23","60.570555200","127.0.0.1","127.0.0.1","TCP","44","53945  >  53946 [ACK] Seq=2 Ack=2 Win=65280 Len=0"
"24","74.989782600","127.0.0.1","127.0.0.1","TCP","44","51512  >  11434 [FIN, ACK] Seq=1 Ack=2 Win=255 Len=0"
"25","74.989812800","127.0.0.1","127.0.0.1","TCP","44","11434  >  51512 [ACK] Seq=2 Ack=2 Win=255 Len=0"
"26","74.989875600","127.0.0.1","127.0.0.1","TCP","44","11434  >  51512 [FIN, ACK] Seq=2 Ack=2 Win=255 Len=0"
"27","74.989897700","127.0.0.1","127.0.0.1","TCP","44","51512  >  11434 [ACK] Seq=2 Ack=3 Win=255 Len=0"
"28","107.682788300","127.0.0.1","127.0.0.1","TCP","56","62716  >  62715 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"29","107.682904100","127.0.0.1","127.0.0.1","TCP","56","62715  >  62716 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"30","107.682920300","127.0.0.1","127.0.0.1","TCP","44","62716  >  62715 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"31","156.503449200","127.0.0.1","127.0.0.1","TCP","56","57866  >  57865 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"32","156.503553100","127.0.0.1","127.0.0.1","TCP","56","57865  >  57866 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"33","156.503566800","127.0.0.1","127.0.0.1","TCP","44","57866  >  57865 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"34","156.506646800","192.168.1.150","192.168.1.150","BACnet-APDU","40","Unconfirmed-REQ who-Is "
"35","156.508989100","192.168.1.150","192.168.1.150","BACnet-APDU","53","Unconfirmed-REQ i-Am device,1234 "
"36","156.509702700","127.0.0.1","127.0.0.1","TCP","44","57865  >  57866 [FIN, ACK] Seq=1 Ack=1 Win=65280 Len=0"
"37","156.509715500","127.0.0.1","127.0.0.1","TCP","44","57866  >  57865 [ACK] Seq=1 Ack=2 Win=65280 Len=0"
"38","156.509724800","127.0.0.1","127.0.0.1","TCP","44","57866  >  57865 [FIN, ACK] Seq=1 Ack=2 Win=65280 Len=0"
"39","156.509731900","127.0.0.1","127.0.0.1","TCP","44","57865  >  57866 [ACK] Seq=2 Ack=2 Win=65280 Len=0"
